adhesion,density,strg,stdev
0.1 , 0.1 , 7.69 , 0.04
0.1 , 0.2 , 7.74 , 0.15
0.1 , 0.3 , 7.88 , 0.22
0.1 , 0.4 , 8.0 , 0.24
0.1 , 0.5 , 8.11 , 0.3
0.1 , 0.6 , 8.56 , 0.56
0.1 , 0.7 , 8.97 , 0.5
0.2 , 0.1 , 7.69 , 0.06
0.2 , 0.2 , 7.74 , 0.13
0.2 , 0.3 , 7.88 , 0.21
0.2 , 0.4 , 7.98 , 0.23
0.2 , 0.5 , 8.1 , 0.29
0.2 , 0.6 , 8.56 , 0.56
0.2 , 0.7 , 8.9 , 0.45
0.3 , 0.1 , 7.69 , 0.04
0.3 , 0.2 , 7.73 , 0.12
0.3 , 0.3 , 7.87 , 0.2
0.3 , 0.4 , 7.96 , 0.21
0.3 , 0.5 , 8.11 , 0.29
0.3 , 0.6 , 8.54 , 0.55
0.3 , 0.7 , 8.95 , 0.47
0.4 , 0.1 , 7.69 , 0.05
0.4 , 0.2 , 7.73 , 0.11
0.4 , 0.3 , 7.85 , 0.2
0.4 , 0.4 , 7.97 , 0.21
0.4 , 0.5 , 8.09 , 0.27
0.4 , 0.6 , 8.47 , 0.52
0.4 , 0.7 , 8.95 , 0.47
0.5 , 0.1 , 7.7 , 0.06
0.5 , 0.2 , 7.72 , 0.09
0.5 , 0.3 , 7.85 , 0.18
0.5 , 0.4 , 8.0 , 0.22
0.5 , 0.5 , 8.08 , 0.25
0.5 , 0.6 , 8.44 , 0.5
0.5 , 0.7 , 8.95 , 0.46
0.6 , 0.1 , 7.72 , 0.07
0.6 , 0.2 , 7.72 , 0.07
0.6 , 0.3 , 7.86 , 0.16
0.6 , 0.4 , 8.0 , 0.21
0.6 , 0.5 , 8.08 , 0.23
0.6 , 0.6 , 8.43 , 0.5
0.6 , 0.7 , 8.96 , 0.46
0.7 , 0.1 , 7.71 , 0.04
0.7 , 0.2 , 7.73 , 0.06
0.7 , 0.3 , 7.89 , 0.15
0.7 , 0.4 , 7.97 , 0.2
0.7 , 0.5 , 8.09 , 0.2
0.7 , 0.6 , 8.42 , 0.49
0.7 , 0.7 , 8.97 , 0.45
0.8 , 0.1 , 7.75 , 0.06
0.8 , 0.2 , 7.75 , 0.05
0.8 , 0.3 , 7.91 , 0.14
0.8 , 0.4 , 7.99 , 0.19
0.8 , 0.5 , 8.1 , 0.17
0.8 , 0.6 , 8.43 , 0.49
0.8 , 0.7 , 8.84 , 0.53
0.9 , 0.1 , 7.77 , 0.04
0.9 , 0.2 , 7.77 , 0.04
0.9 , 0.3 , 7.94 , 0.12
0.9 , 0.4 , 8.03 , 0.18
0.9 , 0.5 , 8.13 , 0.17
0.9 , 0.6 , 8.46 , 0.5
0.9 , 0.7 , 8.86 , 0.52
1.0 , 0.1 , 7.8 , 0.06
1.0 , 0.2 , 7.82 , 0.04
1.0 , 0.3 , 7.98 , 0.1
1.0 , 0.4 , 8.09 , 0.18
1.0 , 0.5 , 8.18 , 0.15
1.0 , 0.6 , 8.55 , 0.6
1.0 , 0.7 , 8.88 , 0.5
1.1 , 0.1 , 7.8 , 0.0
1.1 , 0.2 , 7.92 , 0.06
1.1 , 0.3 , 8.1 , 0.16
1.1 , 0.4 , 8.08 , 0.1
1.1 , 0.5 , 8.3 , 0.05
1.1 , 0.6 , 8.58 , 0.32
1.1 , 0.7 , 9.06 , 0.41
1.2 , 0.1 , 8.12 , 0.23
1.2 , 0.2 , 8.67 , 0.25
1.2 , 0.3 , 9.46 , 0.18
1.2 , 0.4 , 9.7 , 0.36
1.2 , 0.5 , 10.43 , 0.97
1.2 , 0.6 , 10.12 , 1.36
1.2 , 0.7 , 9.46 , 0.23
1.3 , 0.1 , 9.45 , 1.24
1.3 , 0.2 , 11.06 , 1.12
1.3 , 0.3 , 13.08 , 0.7
1.3 , 0.4 , 14.37 , 0.48
1.3 , 0.5 , 13.75 , 1.26
1.3 , 0.6 , 13.16 , 1.89
1.3 , 0.7 , 11.41 , 1.68
1.4 , 0.1 , 11.12 , 1.72
1.4 , 0.2 , 13.29 , 0.59
1.4 , 0.3 , 15.18 , 0.54
1.4 , 0.4 , 16.61 , 0.31
1.4 , 0.5 , 16.68 , 1.31
1.4 , 0.6 , 15.76 , 1.66
1.4 , 0.7 , 13.79 , 1.78
